epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1208,1.22244,3.54504,1.23998,0.00415,0.74638,0.4176,0.26873,0.93679,3.51658,0.97922,0.00025005,0.00025005,0.00025005
2,160.841,0.95629,1.80615,0.97569,0.00411,0.74638,0.55707,0.36488,0.87572,3.4686,0.95691,0.000511654,0.000511654,0.000511654
3,218.869,0.96491,1.53189,0.99867,0.00309,0.56812,0.41239,0.3105,1.0644,3.48366,1.15564,0.000767977,0.000767977,0.000767977
4,273.853,0.8943,1.31774,0.98578,0.94252,0.35842,0.49836,0.37319,0.9818,3.40874,1.05626,0.00101902,0.00101902,0.00101902
5,328.812,0.89845,1.25563,0.98412,1,0.19103,0.57137,0.3991,1.04332,3.23342,1.18303,0.00126478,0.00126478,0.00126478
6,395.773,0.92518,1.21582,0.99281,0.90122,0.70333,0.85985,0.62851,1.0194,2.26542,1.09523,0.00150526,0.00150526,0.00150526
7,456.799,0.90208,1.06923,0.96943,0.93434,0.76447,0.85304,0.59771,1.16494,1.94101,1.16427,0.00156798,0.00156798,0.00156798
8,517.863,0.91076,1.06273,0.9736,0.93107,0.77362,0.85198,0.60052,1.05346,1.91023,1.12587,0.00155148,0.00155148,0.00155148
9,579.972,0.84507,0.96791,0.94111,0.85635,0.80145,0.8628,0.65689,0.888,1.69897,1.06015,0.00153497,0.00153497,0.00153497
10,643.077,0.79338,0.92746,0.93451,0.9232,0.7,0.89037,0.67672,0.882,1.31394,1.03094,0.00151847,0.00151847,0.00151847
11,716.053,0.77343,0.87212,0.91984,0.96061,0.94493,0.96047,0.71913,0.88597,1.11124,1.07439,0.00150197,0.00150197,0.00150197
12,801.635,0.77278,0.82288,0.91475,0.9427,0.91159,0.95073,0.70893,0.85304,0.98396,1.00153,0.00148546,0.00148546,0.00148546
13,844.472,0.76087,0.7942,0.92526,0.9609,0.88138,0.94255,0.68722,0.96947,1.0227,1.10708,0.00146896,0.00146896,0.00146896
14,890.272,0.72542,0.75727,0.92567,0.98029,0.72318,0.88252,0.69473,0.89901,1.03669,1.06606,0.00145246,0.00145246,0.00145246
15,940.499,0.71909,0.73844,0.91505,0.89477,0.9,0.91923,0.69822,0.95562,0.94535,1.04955,0.00143595,0.00143595,0.00143595
16,982.617,0.71727,0.70812,0.91548,0.90091,0.81792,0.86714,0.65235,0.92556,1.09217,1.03068,0.00141945,0.00141945,0.00141945
17,1022.13,0.71258,0.68995,0.90009,0.95676,0.78068,0.86506,0.68169,0.89581,1.08673,1.04175,0.00140295,0.00140295,0.00140295
18,1062.42,0.70481,0.66371,0.9095,0.81672,0.86667,0.89436,0.72045,0.81269,0.92276,1.01257,0.00138644,0.00138644,0.00138644
19,1104.98,0.71134,0.65809,0.91273,0.86225,0.84752,0.88571,0.67266,0.89034,0.94142,1.05017,0.00136994,0.00136994,0.00136994
20,1144.13,0.68452,0.62467,0.90293,0.90397,0.86548,0.91481,0.66248,0.84152,0.82404,1.00965,0.00135344,0.00135344,0.00135344
21,1183.65,0.65225,0.57538,0.89533,0.9195,0.93333,0.95587,0.74657,0.78623,0.74951,0.98109,0.00133693,0.00133693,0.00133693
22,1225.23,0.67824,0.60206,0.88971,0.93315,0.9,0.94427,0.77584,0.746,0.7645,0.94015,0.00132043,0.00132043,0.00132043
23,1265.85,0.68755,0.604,0.89375,0.95195,0.88878,0.9641,0.75973,0.75315,0.74855,0.95946,0.00130393,0.00130393,0.00130393
24,1308.41,0.66384,0.5711,0.88572,0.98738,0.87826,0.94171,0.77284,0.70375,0.72422,0.94578,0.00128742,0.00128742,0.00128742
25,1347.19,0.66709,0.5637,0.89551,0.97334,0.89672,0.92602,0.77179,0.74229,0.74554,0.96772,0.00127092,0.00127092,0.00127092
26,1387.97,0.65251,0.54164,0.88362,0.98167,0.88386,0.91289,0.77473,0.69926,0.69829,0.92532,0.00125442,0.00125442,0.00125442
27,1428.01,0.632,0.56268,0.87921,0.98834,0.9,0.91775,0.77408,0.71373,0.68429,0.94982,0.00123791,0.00123791,0.00123791
28,1466.73,0.63216,0.52311,0.87296,0.97125,0.89573,0.895,0.75128,0.7217,0.72112,0.95607,0.00122141,0.00122141,0.00122141
29,1504.11,0.63288,0.51776,0.89099,0.94494,0.89337,0.90985,0.74702,0.67492,0.64358,0.91621,0.00120491,0.00120491,0.00120491
30,1544.75,0.61488,0.49753,0.86873,0.9258,0.89307,0.9272,0.77658,0.67745,0.62782,0.93386,0.0011884,0.0011884,0.0011884
31,1667.07,0.63024,0.51334,0.86784,0.93209,0.9,0.90035,0.73515,0.72759,0.64955,1.01234,0.0011719,0.0011719,0.0011719
32,1721.15,0.59839,0.49043,0.87529,0.98288,0.9,0.93401,0.7422,0.78354,0.65493,0.98969,0.0011554,0.0011554,0.0011554
33,1772.18,0.62148,0.50228,0.87722,0.97164,0.9,0.93378,0.72,0.81807,0.6757,1.00474,0.00113889,0.00113889,0.00113889
