epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4706,1.13522,3.04653,1.15643,0.00476,0.85652,0.36297,0.17437,0.874,3.54987,0.96962,0.00051677,0.00051677,0.00051677
2,93.652,1.04096,1.67659,1.03579,1,0.25071,0.49109,0.38479,0.93965,3.37702,1.13746,0.00102942,0.00102942,0.00102942
3,127.836,1.05635,1.62234,1.04008,1,0.38737,0.59831,0.40206,1.29603,3.32095,1.48634,0.00152094,0.00152094,0.00152094
4,164.665,1.01728,1.46242,1.04044,0.79791,0.78986,0.81955,0.59739,0.99444,1.85125,1.16047,0.00156798,0.00156798,0.00156798
5,197.62,0.99485,1.36998,1.03408,0.88582,0.74419,0.84761,0.61183,1.06641,1.65715,1.07774,0.00153497,0.00153497,0.00153497
6,231.588,0.9393,1.28653,1.01285,0.90246,0.78695,0.89715,0.65116,0.95326,1.39917,1.05595,0.00150197,0.00150197,0.00150197
7,265.14,0.89985,1.078,0.96556,0.80515,0.86667,0.88709,0.64394,0.85193,1.26629,0.99175,0.00146896,0.00146896,0.00146896
8,298.465,0.89851,1.0757,0.97026,0.9174,0.86351,0.90883,0.65607,0.91444,1.262,1.04168,0.00143595,0.00143595,0.00143595
9,331.84,0.88994,1.00676,0.95496,0.88903,0.91607,0.91502,0.69013,0.79622,1.24505,0.96322,0.00140295,0.00140295,0.00140295
10,365.4,0.81065,0.97201,0.93337,0.9145,0.91159,0.94811,0.67326,0.97376,1.13033,1.03243,0.00136994,0.00136994,0.00136994
11,399.745,0.83377,0.89209,0.95172,0.99864,0.88704,0.96593,0.76464,0.76992,1.05306,0.96363,0.00133693,0.00133693,0.00133693
12,434.105,0.80646,0.86656,0.93705,0.89655,0.93106,0.94625,0.72499,0.82511,0.98235,0.9648,0.00130393,0.00130393,0.00130393
13,467.222,0.76957,0.81314,0.93013,0.96085,0.93333,0.93,0.75135,0.7424,0.91723,0.93224,0.00127092,0.00127092,0.00127092
14,502.717,0.7048,0.75337,0.91128,0.91592,0.93333,0.95644,0.74558,0.78435,0.79593,0.95232,0.00123791,0.00123791,0.00123791
15,539.187,0.69283,0.73557,0.90004,0.9401,0.9,0.95229,0.75814,0.76844,0.86126,0.94649,0.00120491,0.00120491,0.00120491
16,574.467,0.69262,0.69646,0.90218,0.93886,0.86278,0.95589,0.75671,0.73046,0.766,0.93376,0.0011719,0.0011719,0.0011719
17,610.62,0.68102,0.6787,0.89525,0.922,0.94493,0.94041,0.73119,0.74987,0.76706,0.96051,0.00113889,0.00113889,0.00113889
18,645.954,0.73026,0.67364,0.91374,0.87222,0.95994,0.94756,0.74785,0.72692,0.73068,0.92507,0.00110589,0.00110589,0.00110589
19,679.404,0.69199,0.67733,0.91529,0.98318,0.86496,0.92608,0.71201,0.80367,0.77972,0.96501,0.00107288,0.00107288,0.00107288
20,712.063,0.66699,0.65008,0.90316,0.92486,0.9,0.91089,0.73331,0.73953,0.8209,0.91884,0.00103987,0.00103987,0.00103987
21,744.891,0.65374,0.61085,0.90643,0.91605,0.86667,0.9286,0.73267,0.70323,0.70707,0.91638,0.00100687,0.00100687,0.00100687
22,781.931,0.6606,0.61033,0.89492,0.92322,0.86442,0.95668,0.76168,0.74924,0.73619,0.91869,0.000973861,0.000973861,0.000973861
23,815.266,0.64419,0.59537,0.88418,0.92144,0.87346,0.95078,0.75539,0.69307,0.6955,0.91372,0.000940855,0.000940855,0.000940855
24,846.893,0.6229,0.57809,0.8863,0.91333,0.89438,0.9401,0.76791,0.72189,0.64778,0.91421,0.000907848,0.000907848,0.000907848
25,880.595,0.60643,0.56506,0.88295,0.93723,0.9,0.94459,0.78019,0.66163,0.62466,0.89673,0.000874842,0.000874842,0.000874842
26,913.055,0.56811,0.53146,0.86443,0.93577,0.9,0.94489,0.76105,0.64216,0.62773,0.89203,0.000841835,0.000841835,0.000841835
27,946.151,0.61415,0.5638,0.88729,0.97088,0.86412,0.91714,0.79512,0.62158,0.61317,0.88082,0.000808828,0.000808828,0.000808828
28,978.185,0.57724,0.51593,0.86497,0.9251,0.91938,0.96033,0.81135,0.63447,0.58734,0.8931,0.000775822,0.000775822,0.000775822
29,1010.27,0.58167,0.52213,0.87847,0.96132,0.96512,0.96417,0.79974,0.64675,0.56713,0.89638,0.000742815,0.000742815,0.000742815
30,1044.11,0.55671,0.48487,0.86729,0.96114,0.9625,0.965,0.79555,0.65594,0.57667,0.90202,0.000709809,0.000709809,0.000709809
31,1078.28,0.5554,0.49878,0.85387,0.96837,0.92865,0.96063,0.79018,0.6613,0.60299,0.9122,0.000676802,0.000676802,0.000676802
32,1110.59,0.56946,0.49981,0.87602,0.93007,0.96076,0.96033,0.8015,0.65089,0.56649,0.93097,0.000643795,0.000643795,0.000643795
33,1142.84,0.55086,0.48283,0.87206,0.96835,0.9287,0.96183,0.82049,0.63735,0.53677,0.91546,0.000610789,0.000610789,0.000610789
34,1175.54,0.54136,0.46627,0.86107,0.96624,0.95346,0.96417,0.7967,0.66383,0.54409,0.9267,0.000577782,0.000577782,0.000577782
35,1210.86,0.52628,0.46299,0.85482,0.96359,0.93119,0.96417,0.78398,0.64504,0.56547,0.92956,0.000544776,0.000544776,0.000544776
36,1243.47,0.54645,0.46308,0.87181,0.97599,0.8996,0.9275,0.78863,0.64752,0.53238,0.93132,0.000511769,0.000511769,0.000511769
37,1276.52,0.52442,0.45575,0.86927,0.97295,0.9,0.92533,0.78374,0.64213,0.54291,0.90806,0.000478762,0.000478762,0.000478762
